, opt_13b, , , , , , Geomean, , , , , 
Time, 1.00000, 0.00024, 0.00049, 1.00000, 0.00024, 0.00049, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Static, 0.36226, 0.00009, 0.00018, 0.36226, 0.00009, 0.00018, 
Dram, 0.18768, 0.00003, 0.00009, 0.54994, 0.00012, 0.00027, 
Buffer, 0.21803, 0.00008, 0.00021, 0.76797, 0.00020, 0.00048, 
Core, 0.23203, 0.00009, 0.00054, 1.00000, 0.00029, 0.00101, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Time, 1.00000, 0.00024, 0.00049, 1.00000, 0.00024, 0.00049, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Static, 0.36226, 0.00009, 0.00018, 0.36226, 0.00009, 0.00018, 
Dram, 0.18768, 0.00003, 0.00009, 0.54994, 0.00012, 0.00027, 
Buffer, 0.21803, 0.00008, 0.00021, 0.76797, 0.00020, 0.00048, 
Core, 0.23203, 0.00009, 0.00035, 1.00000, 0.00029, 0.00083, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Time, 1.00000, 0.00024, 0.00049, 1.00000, 0.00024, 0.00049, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Static, 0.36226, 0.00009, 0.00018, 0.36226, 0.00009, 0.00018, 
Dram, 0.18768, 0.00001, 0.00001, 0.54994, 0.00009, 0.00019, 
Buffer, 0.21803, 0.00008, 0.00021, 0.76797, 0.00017, 0.00039, 
Core, 0.23203, 0.00009, 0.00035, 1.00000, 0.00026, 0.00075, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Time, 1.00000, 0.01564, 0.06252, 1.00000, 0.01564, 0.06252, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Static, 0.39774, 0.00622, 0.02487, 0.39774, 0.00622, 0.02487, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00674, 0.02693, 
Buffer, 0.23992, 0.00012, 0.00035, 0.74525, 0.00686, 0.02729, 
Core, 0.25475, 0.00336, 0.01328, 1.00000, 0.01021, 0.04057, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Time, 1.00000, 0.01564, 0.01564, 1.00000, 0.01564, 0.01564, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Static, 0.39774, 0.00622, 0.00622, 0.39774, 0.00622, 0.00622, 
Dram, 0.10759, 0.00052, 0.00052, 0.50533, 0.00674, 0.00674, 
Buffer, 0.23992, 0.00012, 0.00009, 0.74525, 0.00686, 0.00683, 
Core, 0.25475, 0.00336, 0.01235, 1.00000, 0.01021, 0.01917, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Time, 1.00000, 0.01564, 0.06252, 1.00000, 0.01564, 0.06252, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Static, 0.39774, 0.00622, 0.02487, 0.39774, 0.00622, 0.02487, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00674, 0.02693, 
Buffer, 0.23992, 0.00012, 0.00035, 0.74525, 0.00686, 0.02729, 
Core, 0.25475, 0.00336, 0.01328, 1.00000, 0.01021, 0.04057, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Time, 1.00000, 0.01564, 0.01564, 1.00000, 0.01564, 0.01564, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, awq, ant, giant, awq, 
Static, 0.39774, 0.00622, 0.00622, 0.39774, 0.00622, 0.00622, 
Dram, 0.10759, 0.00052, 0.00052, 0.50533, 0.00674, 0.00674, 
Buffer, 0.23992, 0.00012, 0.00009, 0.74525, 0.00686, 0.00683, 
Core, 0.25475, 0.00336, 0.01235, 1.00000, 0.01021, 0.01917, 
